FIPS,County.Name,State.Name,State.Code,Region,Estimated.hesitant,Estimated.strongly.hesitant,SVI,SVI.Category,CVAC.level.of.concern.for.vaccination.rollout,CVAC.Level.Of.Concern,Percent.Hispanic,Percent.non.Hispanic.American.Indian.Alaska.Native,Percent.non.Hispanic.Asian,Percent.non.Hispanic.Black,Percent.non.Hispanic.Native.Hawaiian.Pacific.Islander,Percent.non.Hispanic.White,Median_Household_Income_2019
1131,Wilcox County,Alabama,AL,South,0.23,0.11,0.93,Very High Concern,0.94,Very High Concern,0.0053,9.00E-04,3.00E-04,0.6938,0,0.2684,30998
1129,Washington County,Alabama,AL,South,0.23,0.11,0.73,High Concern,0.82,Very High Concern,0.0146,0.0731,0.0025,0.2354,0,0.6495,48864
1133,Winston County,Alabama,AL,South,0.22,0.11,0.7,High Concern,0.8,High Concern,0.0315,0.0034,0.0016,0.0073,5.00E-04,0.937,40827
1127,Walker County,Alabama,AL,South,0.23,0.11,0.75,High Concern,0.68,High Concern,0.0249,0.0015,0.0049,0.0617,0,0.8895,45991
2013,Aleutians East Borough,Alaska,AK,West,0.26,0.12,0.58,Moderate Concern,0.87,Very High Concern,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,66923
2016,Aleutians West Census Area,Alaska,AK,West,0.26,0.12,0.49,Moderate Concern,0.77,High Concern,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,84726
1125,Tuscaloosa County,Alabama,AL,South,0.22,0.1,0.63,High Concern,0.58,Moderate Concern,0.0372,0.0016,0.0161,0.3189,4.00E-04,0.6155,52307
2050,Bethel Census Area,Alaska,AK,West,0.26,0.12,0.97,Very High Concern,0.89,Very High Concern,0.026,0.825,0.0108,0.0074,0.0022,0.0973,48262
13105,Elbert County,Georgia,GA,South,0.22,0.1,0.83,Very High Concern,0.91,Very High Concern,0.057,0,0.0043,0.296,0,0.6351,9663
13115,Floyd County,Georgia,GA,South,0.25,0.11,0.89,Very High Concern,0.75,High Concern,0.1107,0.0015,0.0127,0.1387,0,0.7076,44476
13109,Evans County,Georgia,GA,South,0.27,0.12,0.98,Very High Concern,0.76,High Concern,0.1172,0.0014,0.0091,0.2964,0,0.5626,4668
13111,Fannin County,Georgia,GA,South,0.25,0.11,0.3,Low Concern,0.4,Moderate Concern,0.0236,0.0011,0.0037,0.0025,0.0011,0.9489,9027
13107,Emanuel County,Georgia,GA,South,0.26,0.12,0.98,Very High Concern,0.91,Very High Concern,0.045,0.0024,0.0015,0.3387,0,0.5927,9883
13113,Fayette County,Georgia,GA,South,0.17,0.07,0.06,Very Low Concern,0.18,Very Low Concern,0.0723,9.00E-04,0.044,0.2251,0.0013,0.622,49508
13117,Forsyth County,Georgia,GA,South,0.16,0.07,0.04,Very Low Concern,0.44,Moderate Concern,0.095,0.0017,0.1291,0.0332,2.00E-04,0.717,56976
13127,Glynn County,Georgia,GA,South,0.24,0.1,0.72,High Concern,0.65,High Concern,0.0662,0.0035,0.0127,0.2607,0.0012,0.6356,34626
13137,Habersham County,Georgia,GA,South,0.24,0.11,0.71,High Concern,0.72,High Concern,0.1479,9.00E-04,0.0194,0.0319,0.0018,0.7729,18275
13321,Worth County,Georgia,GA,South,0.25,0.11,0.74,High Concern,0.88,Very High Concern,0.022,0.0038,0.0079,0.2801,3.00E-04,0.673,10240
13305,Wayne County,Georgia,GA,South,0.27,0.12,0.92,Very High Concern,0.77,High Concern,0.0626,7.00E-04,0.0061,0.2024,0,0.7117,11295
15001,Hawaii County,Hawaii,HI,West,0.12,0.05,0.58,Moderate Concern,0.35,Low Concern,0.1273,0.0018,0.2184,0.0058,0.1108,0.3031,73809
13303,Washington County,Georgia,GA,South,0.26,0.12,0.95,Very High Concern,0.84,Very High Concern,0.0248,5.00E-04,0.0067,0.5263,0,0.4253,8525
13313,Whitfield County,Georgia,GA,South,0.24,0.11,0.88,Very High Concern,0.84,Very High Concern,0.3511,0.0025,0.0144,0.0376,0,0.5843,43422
13311,White County,Georgia,GA,South,0.21,0.09,0.24,Low Concern,0.61,High Concern,0.0325,0.0043,0.0058,0.0146,0,0.923,10769
13315,Wilcox County,Georgia,GA,South,0.26,0.12,0.82,Very High Concern,0.95,Very High Concern,0.0466,0.0039,0,0.3548,0,0.5851,3236
15003,Honolulu County,Hawaii,HI,West,0.1,0.04,0.47,Moderate Concern,0.3,Low Concern,0.0985,0.0013,0.4173,0.0225,0.0893,0.1837,430500
13309,Wheeler County,Georgia,GA,South,0.27,0.12,0.81,Very High Concern,0.98,Very High Concern,0.0014,0,0,0.4339,0,0.5618,2294
13317,Wilkes County,Georgia,GA,South,0.26,0.12,0.76,High Concern,0.89,Very High Concern,0.0506,0,0.0039,0.4259,0,0.5093,5015
13307,Webster County,Georgia,GA,South,0.24,0.11,0.79,High Concern,0.86,Very High Concern,0.0874,0.0034,0,0.372,0,0.5184,1064
13319,Wilkinson County,Georgia,GA,South,0.23,0.1,0.79,High Concern,0.9,Very High Concern,0.0287,0.0012,0,0.3895,6.00E-04,0.567,4488
23029,Washington County,Maine,ME,Northeast,0.14,0.09,0.64,High Concern,0.5,Moderate Concern,0.0236,0.0512,0.0046,0.0042,3.00E-04,0.8944,15790
23031,York County,Maine,ME,Northeast,0.11,0.07,0.09,Very Low Concern,0.13,Very Low Concern,0.0172,0.0044,0.0125,0.0079,3.00E-04,0.9424,103380
24011,Caroline County,Maryland,MD,South,0.13,0.04,0.55,Moderate Concern,0.22,Low Concern,0.0731,0.0016,0.0069,0.1354,0,0.7555,15346
24021,Frederick County,Maryland,MD,South,0.11,0.03,0.16,Very Low Concern,0.06,Very Low Concern,0.0959,0.0026,0.0444,0.0937,7.00E-04,0.7348,109517
24510,Baltimore city,Maryland,MD,South,0.15,0.04,0.83,Very High Concern,0.36,Low Concern,0.0528,0.0024,0.0257,0.6177,3.00E-04,0.2749,279702
25005,Bristol County,Massachusetts,MA,Northeast,0.09,0.04,0.52,Moderate Concern,0.06,Very Low Concern,0.0799,5.00E-04,0.0226,0.0394,4.00E-04,0.8128,276086
